season,episode,feature,artist,artist_name,artist_relationship
2,1,SNOWY_MOUNTAIN,BOB_ROSS,Bob Ross,Himself
2,1,TREE,BOB_ROSS,Bob Ross,Himself
2,1,TREES,BOB_ROSS,Bob Ross,Himself
2,2,CONIFER,BOB_ROSS,Bob Ross,Himself
2,2,LAKE,BOB_ROSS,Bob Ross,Himself
2,2,SNOW,BOB_ROSS,Bob Ross,Himself
2,2,SUN,BOB_ROSS,Bob Ross,Himself
2,2,TREE,BOB_ROSS,Bob Ross,Himself
2,2,TREES,BOB_ROSS,Bob Ross,Himself
2,3,CLOUDS,BOB_ROSS,Bob Ross,Himself
2,3,CUMULUS,BOB_ROSS,Bob Ross,Himself
2,3,DECIDUOUS,BOB_ROSS,Bob Ross,Himself
2,3,OCEAN,BOB_ROSS,Bob Ross,Himself
2,3,SUN,BOB_ROSS,Bob Ross,Himself
2,3,TREE,BOB_ROSS,Bob Ross,Himself
2,3,TREES,BOB_ROSS,Bob Ross,Himself
2,3,WAVES,BOB_ROSS,Bob Ross,Himself
2,4,BUSHES,BOB_ROSS,Bob Ross,Himself
2,4,CABIN,BOB_ROSS,Bob Ross,Himself
2,4,CLOUDS,BOB_ROSS,Bob Ross,Himself
2,4,CONIFER,BOB_ROSS,Bob Ross,Himself
2,4,CUMULUS,BOB_ROSS,Bob Ross,Himself
2,4,DECIDUOUS,BOB_ROSS,Bob Ross,Himself
2,4,LAKE,BOB_ROSS,Bob Ross,Himself
2,4,MOUNTAIN,BOB_ROSS,Bob Ross,Himself
2,4,MOUNTAINS,BOB_ROSS,Bob Ross,Himself
2,4,SNOW,BOB_ROSS,Bob Ross,Himself
2,4,SNOWY_MOUNTAIN,BOB_ROSS,Bob Ross,Himself
2,4,STRUCTURE,BOB_ROSS,Bob Ross,Himself
2,4,TREE,BOB_ROSS,Bob Ross,Himself
2,4,TREES,BOB_ROSS,Bob Ross,Himself
2,5,BUSHES,BOB_ROSS,Bob Ross,Himself
2,5,DECIDUOUS,BOB_ROSS,Bob Ross,Himself
2,5,GRASS,BOB_ROSS,Bob Ross,Himself
2,5,LAKE,BOB_ROSS,Bob Ross,Himself
2,5,TREE,BOB_ROSS,Bob Ross,Himself
2,5,TREES,BOB_ROSS,Bob Ross,Himself
2,6,BUSHES,BOB_ROSS,Bob Ross,Himself
2,6,CLOUDS,BOB_ROSS,Bob Ross,Himself
2,6,CUMULUS,BOB_ROSS,Bob Ross,Himself
2,6,DECIDUOUS,BOB_ROSS,Bob Ross,Himself
2,6,GRASS,BOB_ROSS,Bob Ross,Himself
2,6,RIVER,BOB_ROSS,Bob Ross,Himself
2,6,TREE,BOB_ROSS,Bob Ross,Himself
2,6,TREES,BOB_ROSS,Bob Ross,Himself
2,7,CLOUDS,BOB_ROSS,Bob Ross,Himself
2,7,CONIFER,BOB_ROSS,Bob Ross,Himself
2,7,CUMULUS,BOB_ROSS,Bob Ross,Himself
2,7,GRASS,BOB_ROSS,Bob Ross,Himself
2,7,LAKE,BOB_ROSS,Bob Ross,Himself
2,7,MOUNTAIN,BOB_ROSS,Bob Ross,Himself
2,7,MOUNTAINS,BOB_ROSS,Bob Ross,Himself
2,7,TREE,BOB_ROSS,Bob Ross,Himself
2,7,TREES,BOB_ROSS,Bob Ross,Himself
2,8,BUSHES,BOB_ROSS,Bob Ross,Himself
2,8,CIRRUS,BOB_ROSS,Bob Ross,Himself
2,8,CLOUDS,BOB_ROSS,Bob Ross,Himself
2,8,CONIFER,BOB_ROSS,Bob Ross,Himself
2,8,LAKE,BOB_ROSS,Bob Ross,Himself
2,8,MOUNTAIN,BOB_ROSS,Bob Ross,Himself
2,8,SNOWY_MOUNTAIN,BOB_ROSS,Bob Ross,Himself
2,8,TREE,BOB_ROSS,Bob Ross,Himself
2,8,TREES,BOB_ROSS,Bob Ross,Himself
2,9,CIRRUS,BOB_ROSS,Bob Ross,Himself
2,9,CUMULUS,BOB_ROSS,Bob Ross,Himself
2,9,DECIDUOUS,BOB_ROSS,Bob Ross,Himself
2,9,OCEAN,BOB_ROSS,Bob Ross,Himself
2,9,ROCKS,BOB_ROSS,Bob Ross,Himself
2,9,SUN,BOB_ROSS,Bob Ross,Himself
2,9,TREE,BOB_ROSS,Bob Ross,Himself
2,9,TREES,BOB_ROSS,Bob Ross,Himself
2,9,WAVES,BOB_ROSS,Bob Ross,Himself
2,10,DECIDUOUS,BOB_ROSS,Bob Ross,Himself
2,10,GRASS,BOB_ROSS,Bob Ross,Himself
2,10,RIVER,BOB_ROSS,Bob Ross,Himself
2,10,TREE,BOB_ROSS,Bob Ross,Himself
2,10,TREES,BOB_ROSS,Bob Ross,Himself
2,11,BUSHES,BOB_ROSS,Bob Ross,Himself
2,11,CLOUDS,BOB_ROSS,Bob Ross,Himself
2,11,CONIFER,BOB_ROSS,Bob Ross,Himself
2,11,CUMULUS,BOB_ROSS,Bob Ross,Himself
2,11,DECIDUOUS,BOB_ROSS,Bob Ross,Himself
2,11,GRASS,BOB_ROSS,Bob Ross,Himself
2,11,RIVER,BOB_ROSS,Bob Ross,Himself
2,11,ROCKS,BOB_ROSS,Bob Ross,Himself
2,11,TREE,BOB_ROSS,Bob Ross,Himself
2,11,TREES,BOB_ROSS,Bob Ross,Himself
2,11,WATERFALL,BOB_ROSS,Bob Ross,Himself
2,12,DECIDUOUS,BOB_ROSS,Bob Ross,Himself
2,12,GRASS,BOB_ROSS,Bob Ross,Himself
2,12,LAKE,BOB_ROSS,Bob Ross,Himself
2,12,MOUNTAIN,BOB_ROSS,Bob Ross,Himself
2,12,MOUNTAINS,BOB_ROSS,Bob Ross,Himself
