symbol,company,company_id
AAPL,Apple Inc.,1
AMZN,Amazon.com Inc.,2
GME,GameStop Corp.,3
KO,Coca-Cola Company,4
TSLA,Tesla Inc,5
VZ,Verizon Communications Inc.,6
