date,AAPL_close,AMZN_close,GME_close,KO_close,TSLA_close,VZ_close
2020-09-01,134.179993,3499.120117,7.65,49.119999,475.049988,59.16
2020-09-02,131.399994,3531.449951,7.71,51.189999,447.369995,60.529999
2020-09-03,120.879997,3368,7.82,50.48,407,60.610001
2020-09-04,120.959999,3294.620117,7.65,51.040001,418.320007,60.48
2020-09-08,112.82,3149.840088,7.7,49.810001,330.209991,59.959999
2020-09-09,117.32,3268.610107,7.35,50.189999,366.279999,60.040001
2020-09-10,113.489998,3175.110107,6.23,50,371.339996,59.529999
2020-09-11,112,3116.219971,6.09,51.060001,372.720001,59.790001
2020-09-14,115.360001,3102.969971,6.91,50.709999,419.619995,60.32
2020-09-15,115.540001,3156.129883,7.09,51.049999,449.76001,60.599998
2020-09-16,112.129997,3078.100098,8.68,50.790001,441.76001,60.369999
2020-09-17,110.339996,3008.72998,9.2,50.549999,423.429993,60.59
2020-09-18,106.839996,2954.909912,9.47,50.450001,442.149994,60.349998
2020-09-21,110.080002,2960.469971,8.75,49.09,449.390015,59.610001
2020-09-22,111.809998,3128.98999,10.56,49.66,424.230011,59.82
2020-09-23,107.120003,2999.860107,10.04,48.209999,380.359985,58.91
2020-09-24,108.220001,3019.790039,9.14,48.700001,387.790009,59.189999
2020-09-25,112.279999,3095.129883,10.02,48.720001,407.339996,59.389999
2020-09-28,114.959999,3174.050049,10.09,49.279999,421.200012,59.360001
2020-09-29,114.089996,3144.879883,10.35,48.919998,419.070007,59.240002
2020-09-30,115.809998,3148.72998,10.2,49.369999,429.01001,59.490002
2020-10-01,116.790001,3221.26001,9.77,49.18,448.160004,59.450001
2020-10-02,113.019997,3125,9.39,49.360001,415.089996,59.240002
2020-10-05,116.5,3199.199951,9.46,49.380001,425.679993,59.66
2020-10-06,113.160004,3099.959961,9.13,48.939999,413.980011,59.459999
2020-10-07,115.080002,3195.689941,9.36,49.560001,425.299988,59.610001
2020-10-08,114.970001,3190.550049,13.49,50.459999,425.920013,59.189999
2020-10-09,116.970001,3286.649902,12.02,50.810001,434,59.330002
2020-10-12,124.400002,3442.929932,11.8,51.09,442.299988,59.549999
2020-10-13,121.099998,3443.629883,11.88,50.220001,446.649994,59.360001
2020-10-14,121.190002,3363.709961,12.25,50.119999,461.299988,58.43
2020-10-15,120.709999,3338.649902,13.83,49.990002,448.880005,58.16
2020-10-16,119.019997,3272.709961,13.31,50.029999,439.670013,58.049999
