country_id,year_id,gender_id,age_id,cases,id
1.0,10,1,1,NULL,1
1.0,11,1,1,NULL,2
1.0,12,1,1,NULL,3
1.0,13,1,1,NULL,4
1.0,14,1,1,NULL,5
1.0,15,1,1,NULL,6
1.0,17,1,1,0.0,7
1.0,18,1,1,0.0,8
1.0,19,1,1,NULL,9
1.0,20,1,1,0.0,10
1.0,21,1,1,NULL,11
1.0,22,1,1,NULL,12
1.0,23,1,1,0.0,13
1.0,24,1,1,0.0,14
1.0,25,1,1,0.0,15
1.0,26,1,1,0.0,16
1.0,27,1,1,0.0,17
1.0,28,1,1,NULL,18
1.0,29,1,1,0.0,19
2.0,1,1,1,NULL,20
2.0,2,1,1,NULL,21
2.0,3,1,1,NULL,22
2.0,4,1,1,NULL,23
2.0,5,1,1,NULL,24
2.0,6,1,1,NULL,25
2.0,7,1,1,NULL,26
2.0,8,1,1,NULL,27
2.0,9,1,1,NULL,28
2.0,10,1,1,NULL,29
2.0,11,1,1,NULL,30
2.0,12,1,1,NULL,31
2.0,13,1,1,NULL,32
2.0,15,1,1,NULL,33
2.0,17,1,1,NULL,34
2.0,19,1,1,NULL,35
2.0,20,1,1,9.0,36
2.0,21,1,1,3.0,37
2.0,22,1,1,NULL,38
2.0,23,1,1,3.0,39
2.0,24,1,1,4.0,40
2.0,25,1,1,3.0,41
2.0,26,1,1,NULL,42
2.0,27,1,1,2.0,43
2.0,28,1,1,1.0,44
2.0,29,1,1,0.0,45
3.0,1,1,1,NULL,46
3.0,2,1,1,NULL,47
3.0,3,1,1,NULL,48
3.0,4,1,1,NULL,49
3.0,5,1,1,NULL,50
3.0,6,1,1,NULL,51
3.0,7,1,1,NULL,52
3.0,8,1,1,NULL,53
3.0,9,1,1,NULL,54
3.0,10,1,1,NULL,55
3.0,11,1,1,NULL,56
3.0,12,1,1,NULL,57
3.0,18,1,1,5.0,58
3.0,19,1,1,45.0,59
3.0,20,1,1,25.0,60
3.0,21,1,1,93.0,61
3.0,22,1,1,146.0,62
3.0,23,1,1,192.0,63
3.0,24,1,1,245.0,64
3.0,25,1,1,256.0,65
3.0,26,1,1,320.0,66
3.0,27,1,1,442.0,67
3.0,28,1,1,475.0,68
3.0,29,1,1,428.0,69
4.0,1,1,1,NULL,70
4.0,2,1,1,NULL,71
4.0,3,1,1,NULL,72
4.0,4,1,1,NULL,73
4.0,5,1,1,NULL,74
4.0,6,1,1,NULL,75
4.0,7,1,1,NULL,76
4.0,8,1,1,NULL,77
4.0,9,1,1,NULL,78
4.0,10,1,1,NULL,79
4.0,11,1,1,NULL,80
4.0,12,1,1,NULL,81
4.0,13,1,1,NULL,82
4.0,16,1,1,NULL,83
4.0,17,1,1,0.0,84
4.0,18,1,1,NULL,85
4.0,19,1,1,NULL,86
4.0,20,1,1,NULL,87
4.0,21,1,1,1.0,88
4.0,22,1,1,0.0,89
4.0,23,1,1,2.0,90
4.0,24,1,1,0.0,91
4.0,25,1,1,NULL,92
4.0,26,1,1,NULL,93
4.0,27,1,1,NULL,94
4.0,28,1,1,0.0,95
4.0,29,1,1,NULL,96
5.0,1,1,1,NULL,97
5.0,2,1,1,NULL,98
5.0,3,1,1,NULL,99
5.0,4,1,1,NULL,100
5.0,5,1,1,NULL,101
5.0,6,1,1,NULL,102
5.0,7,1,1,NULL,103
5.0,8,1,1,NULL,104
5.0,9,1,1,NULL,105
5.0,10,1,1,NULL,106
5.0,11,1,1,NULL,107
5.0,12,1,1,NULL,108
5.0,13,1,1,NULL,109
5.0,16,1,1,NULL,110
5.0,18,1,1,NULL,111
5.0,22,1,1,NULL,112
5.0,23,1,1,NULL,113
5.0,24,1,1,NULL,114
5.0,25,1,1,0.0,115
5.0,27,1,1,NULL,116
5.0,28,1,1,NULL,117
5.0,29,1,1,NULL,118
6.0,1,1,1,NULL,119
6.0,2,1,1,NULL,120
6.0,3,1,1,NULL,121
6.0,4,1,1,NULL,122
6.0,5,1,1,NULL,123
6.0,6,1,1,NULL,124
6.0,7,1,1,NULL,125
6.0,8,1,1,NULL,126
6.0,9,1,1,NULL,127
6.0,10,1,1,NULL,128
6.0,11,1,1,NULL,129
6.0,12,1,1,NULL,130
6.0,15,1,1,NULL,131
6.0,16,1,1,0.0,132
6.0,17,1,1,NULL,133
6.0,18,1,1,1.0,134
6.0,19,1,1,2.0,135
6.0,20,1,1,0.0,136
6.0,21,1,1,3.0,137
6.0,22,1,1,1.0,138
6.0,23,1,1,2.0,139
6.0,24,1,1,2.0,140
6.0,25,1,1,2.0,141
6.0,26,1,1,0.0,142
6.0,27,1,1,2.0,143
6.0,28,1,1,2.0,144
6.0,29,1,1,1.0,145
7.0,1,1,1,NULL,146
7.0,2,1,1,NULL,147
7.0,3,1,1,NULL,148
7.0,4,1,1,NULL,149
7.0,5,1,1,NULL,150
7.0,6,1,1,NULL,151
7.0,7,1,1,NULL,152
7.0,8,1,1,NULL,153
7.0,9,1,1,NULL,154
7.0,10,1,1,NULL,155
7.0,11,1,1,NULL,156
7.0,12,1,1,NULL,157
7.0,13,1,1,NULL,158
7.0,14,1,1,NULL,159
7.0,15,1,1,NULL,160
7.0,16,1,1,1.0,161
7.0,17,1,1,0.0,162
7.0,18,1,1,3.0,163
7.0,19,1,1,1.0,164
7.0,20,1,1,6.0,165
7.0,21,1,1,1.0,166
7.0,22,1,1,1.0,167
7.0,23,1,1,2.0,168
7.0,24,1,1,2.0,169
7.0,25,1,1,1.0,170
7.0,26,1,1,3.0,171
7.0,27,1,1,3.0,172
7.0,28,1,1,2.0,173
7.0,29,1,1,4.0,174
